Sigla,Estado,x,y
AC,Acre,-260,64
AL,Alagoas,303,59
AP,Amapá,41,264
AM,Amazonas,-188,181
BA,Bahia,221,26
CE,Ceará,256,140
DF,Distrito Federal,109,-39
ES,Espírito Santo,232,-100
GO,Goiais,77,-43
MA,Maranhão,156, 149
MT,Mato Grosso,-27,15
MS,Mato Grosso do Sul,-15,-114
MG,Minas Gerais,168,-86
PA,Pará,21,167
PB,Paraíba,313,103
PR,Paraná,35,-190
PE,Pernambuco,283,85
PI,Piauí,200,99
RJ,Rio de Janeiro,188,-156
RN,Rio Grande do Norte,306,129
RS,Rio Grande do Sul,13,-278
RO,Rondônia,-154,48
RR,Roraima,-124,284
SC,Santa Catarina,67,-239
SP,São Paulo,89,-148
SE,Sergipe,292,46
TO,Tocantins,100,62
